"Date","Open","High","Low","Close","Volume"
09/03/15,24.76,24.95,24.39,24.51,33564783
09/02/15,24.14,24.58,23.83,24.57,50480842
09/01/15,24.24,24.36,23.68,23.88,65344037
08/31/15,24.98,24.98,24.58,24.82,37006824
08/28/15,24.92,25.17,24.78,25.16,32942524
08/27/15,24.43,25.01,24.38,25.01,64894187
08/26/15,23.85,24.07,23.27,24.01,78965938
08/25/15,24.73,24.74,23.27,23.27,60778038
08/24/15,22.84,24.38,19.37,23.87,91236502
08/21/15,24.9,25.13,24.56,24.59,65101865
08/20/15,25.51,25.64,25.18,25.19,34645831
08/19/15,25.9,26.02,25.62,25.73,29149886
08/18/15,26.17,26.21,25.94,26.07,20348848
08/17/15,25.95,26.24,25.8,26.21,19223741
08/14/15,25.65,26.1,25.62,26.08,20786347
08/13/15,25.77,25.91,25.62,25.79,16418697
08/12/15,25.54,25.88,25.35,25.86,32656190
08/11/15,26.03,26.03,25.64,25.71,28235312
08/10/15,25.9,26.3,25.9,26.24,23479164
08/07/15,25.95,26.06,25.61,25.79,25916189
08/06/15,26.15,26.18,25.96,26.03,17298182
08/05/15,26.09,26.33,26.03,26.1,25471417
08/04/15,25.89,26.06,25.83,25.9,21985187
08/03/15,26.12,26.12,25.6,25.87,32580332
07/31/15,26.23,26.29,26.05,26.1,23197506
07/30/15,26.23,26.24,26.01,26.12,22118881
07/29/15,26.09,26.28,26.05,26.26,23987875
07/28/15,26.1,26.24,25.95,26.1,27758314
07/27/15,25.54,25.98,25.52,25.95,36276960
07/24/15,26.31,26.32,25.67,25.75,31124222
07/23/15,26.58,26.6,26.2,26.26,23201200
07/22/15,26.88,26.96,26.57,26.63,24133394
07/21/15,27.01,27.15,26.8,26.85,29282285
07/20/15,27.12,27.21,27.01,27.14,24686624
07/17/15,27.26,27.33,27.03,27.24,41190955
07/16/15,26.98,27.04,26.84,27.04,30635414
07/15/15,26.61,26.79,26.6,26.77,27925145
07/14/15,26.35,26.73,26.35,26.66,22294572
07/13/15,26.49,26.53,26.24,26.47,24324597
07/10/15,26.39,26.44,26.04,26.27,25359841
07/09/15,26.17,26.4,26.01,26.02,30411376
07/08/15,26.09,26.24,25.88,25.89,32030673
07/07/15,26.38,26.55,25.93,26.47,32647133
07/06/15,26.53,26.64,26.2,26.31,27858107
07/02/15,26.7,26.83,26.6,26.78,26002262
07/01/15,26.67,26.87,26.47,26.66,30427429
06/30/15,26.82,26.96,26.53,26.57,35557794
06/29/15,26.9,26.97,26.53,26.64,33372327
06/26/15,27.04,27.13,26.91,27.09,25777443
06/25/15,27.28,27.35,27.02,27.04,23342077
06/24/15,27.55,27.59,27.25,27.26,32456692
06/23/15,27.42,27.6,27.39,27.55,32510907
06/22/15,27.3,27.5,27.29,27.42,27504658
06/19/15,27.27,27.38,27.18,27.24,60267647
06/18/15,27.08,27.41,27.03,27.37,37680661
06/17/15,27.19,27.4,27.11,27.27,36548320
06/16/15,27.17,27.24,27,27.22,27569524
06/15/15,27.2,27.31,27.11,27.21,28498668
06/12/15,27.44,27.48,27.28,27.39,22170553
06/11/15,27.57,27.64,27.36,27.51,31388401
06/10/15,27.36,27.68,27.32,27.63,33175668
06/09/15,27.28,27.47,27.17,27.33,31113885
06/08/15,27.32,27.36,27.21,27.24,29812813
06/05/15,27.26,27.38,27.16,27.29,30647728
06/04/15,27.42,27.62,27.21,27.26,33360470
06/03/15,27.43,27.56,27.36,27.53,26306271
06/02/15,27.22,27.42,27.15,27.33,26325304
06/01/15,27.26,27.34,27.07,27.28,33322427
05/29/15,27.5,27.5,27.27,27.27,41661017
05/28/15,27.5,27.63,27.3,27.63,26418344
05/27/15,27.57,27.62,27.46,27.52,25326776
05/26/15,27.52,27.58,27.38,27.52,47465199
05/22/15,27.69,27.78,27.62,27.68,23289341
05/21/15,27.68,27.79,27.55,27.72,40311149
05/20/15,27.34,27.7,27.2,27.64,40173649
05/19/15,27.27,27.39,27.21,27.35,29150774
05/18/15,27.21,27.39,27.21,27.31,22489480
05/15/15,27.38,27.44,27.25,27.27,35768687
05/14/15,27.32,27.43,27.15,27.41,26976059
05/13/15,27.02,27.24,26.92,27.21,37170407
05/12/15,26.82,27.09,26.75,27.03,29789840
05/11/15,27.25,27.3,26.86,26.92,32453388
05/08/15,27.25,27.49,27.22,27.36,37221527
05/07/15,26.78,27.12,26.66,27.04,31038239
05/06/15,27,27.18,26.61,26.81,27761007
05/05/15,27.25,27.36,26.85,26.92,30347339
05/04/15,27.36,27.61,27.25,27.27,26201685
05/01/15,27.09,27.32,26.99,27.31,28303317
04/30/15,27.06,27.35,26.97,27.08,42984977
04/29/15,26.95,27.25,26.9,27.09,37153977
04/28/15,26.95,27.16,26.64,27.12,38426611
04/27/15,26.96,27,26.81,26.88,36217680
04/24/15,26.88,26.94,26.7,26.8,27713961
04/23/15,26.78,27.07,26.71,26.85,38165835
04/22/15,26.7,27.02,26.6,26.91,47056120
04/21/15,27.03,27.06,26.55,26.62,76872343
04/20/15,27.32,27.44,27.01,27.02,61686961
04/17/15,27.4,27.7,26.92,27.25,87794530
04/16/15,27.31,27.5,27.18,27.28,62363112
04/15/15,27.69,27.85,27.43,27.46,56420065
04/14/15,27.48,27.84,27.38,27.73,55777197
04/13/15,28.06,28.19,27.5,27.63,153984855
04/10/15,27.13,28.68,27,28.51,352701949
04/09/15,25.09,25.83,24.92,25.73,60149914
04/08/15,25.05,25.12,24.87,25.01,22439203
04/07/15,25.17,25.28,25,25.02,21261550
04/06/15,24.9,25.41,24.79,25.18,33445096
04/02/15,24.81,25,24.7,24.94,29213060
04/01/15,24.72,24.92,24.57,24.84,38749526
03/31/15,25.09,25.09,24.81,24.81,34940926
03/30/15,24.98,25.2,24.97,25.12,27281424
03/27/15,24.92,24.92,24.71,24.86,28320556
03/26/15,24.8,24.92,24.67,24.8,32504429
03/25/15,25.23,25.33,24.91,24.91,34897363
03/24/15,25.38,25.48,25.27,25.27,25801276
03/23/15,25.48,25.74,25.45,25.47,31984480
03/20/15,25.34,25.53,25.3,25.4,50632559
03/19/15,25.44,25.61,25.26,25.33,38314849
03/18/15,25.18,25.85,25.11,25.64,38302821
03/17/15,25.3,25.39,25.09,25.31,34259011
03/16/15,25.06,25.48,24.96,25.45,34610433
03/13/15,25.28,25.36,24.81,25.04,45306958
03/12/15,25.27,25.41,25.17,25.4,29369497
03/11/15,25.28,25.49,25.14,25.19,36198081
03/10/15,25.5,25.64,25.17,25.17,37442079
03/09/15,25.52,25.7,25.49,25.64,31591142
03/06/15,25.71,25.78,25.33,25.42,32286776
03/05/15,25.62,25.82,25.58,25.82,28373771
03/04/15,25.76,25.77,25.47,25.66,31543763
03/03/15,26.05,26.08,25.78,25.86,30542279
03/02/15,25.88,26.12,25.85,26.11,32408985
02/27/15,25.83,26.27,25.75,25.99,51531829
02/26/15,25.94,26.01,25.81,25.89,38247190
02/25/15,25.45,26.06,25.44,25.91,68219592
02/24/15,25.12,25.45,25.09,25.39,42464097
02/23/15,25.22,25.3,25.1,25.17,30774507
02/20/15,24.88,25.22,24.8,25.21,39889843
02/19/15,25.03,25.21,24.95,25.01,33232937
02/18/15,25.29,25.29,25.15,25.25,30740798
02/17/15,25.12,25.21,24.98,25.17,35989548
02/13/15,24.99,25.17,24.94,25.15,33076157
02/12/15,24.81,24.99,24.71,24.89,26522270
02/11/15,24.71,24.82,24.6,24.77,24455252
02/10/15,24.77,24.8,24.55,24.72,27075753
02/09/15,24.47,24.75,24.45,24.64,27284032
02/06/15,24.54,24.75,24.47,24.52,27471977
02/05/15,24.25,24.5,24.24,24.5,25647378
02/04/15,24.41,24.43,24.08,24.16,33236000
02/03/15,24.29,24.53,24.26,24.47,37723846
02/02/15,24,24.22,23.9,24.21,39602517
01/30/15,23.88,24.11,23.82,23.89,54712156
01/29/15,23.84,24.2,23.78,24.08,40436431
01/28/15,24.47,24.49,23.81,23.84,49653844
01/27/15,24.39,24.46,24.2,24.38,38398141
01/26/15,24.72,24.74,24.4,24.59,39174854
01/23/15,24.43,24.88,24.29,24.48,63738712
01/22/15,24.3,24.36,23.96,24.28,47129321
01/21/15,23.83,24.08,23.71,24.04,37620305
01/20/15,23.84,23.87,23.55,23.85,44562067
01/16/15,23.51,23.65,23.45,23.59,49793936
01/15/15,23.86,23.97,23.56,23.58,31480084
01/14/15,23.65,23.85,23.41,23.78,41850798
01/13/15,24.26,24.33,23.63,23.86,41172849
01/12/15,24.07,24.14,23.77,23.98,42871146
01/09/15,24.52,24.53,23.95,24.03,43132201
01/08/15,24.32,24.38,24.13,24.37,43224386
01/07/15,24.21,24.39,23.98,24.08,43642472
01/06/15,24.46,24.57,23.93,24.07,63759958
01/05/15,25.01,25.01,24.52,24.6,42033195
01/02/15,25.34,25.46,24.87,25.06,40920799
12/31/14,25.42,25.52,25.27,25.27,28206452
12/30/14,25.61,25.7,25.42,25.57,22184545
12/29/14,25.7,25.85,25.68,25.7,20858159
12/26/14,25.84,25.9,25.74,25.78,14978547
12/24/14,25.89,25.94,25.7,25.83,17865138
12/23/14,25.69,26,25.6,25.88,31399717
12/22/14,25.65,25.77,25.56,25.71,35238128
12/19/14,25.12,25.7,25,25.62,86713650
12/18/14,25.13,25.15,24.68,25.14,52044711
12/17/14,24.61,24.72,24.06,24.66,77589311
