Date,Open,High,Low,Close,Volume
07/10/20,3191.76,3215,3135.7,3200,5486000
07/09/20,3115.99,3193.88,3074,3182.63,6389000
07/08/20,3022.61,3083.97,3012.43,3081.11,5037900
07/07/20,3058.55,3069.55,2990,3000.12,5257700
07/06/20,2934.97,3059.88,2930,3057.04,6880300
07/02/20,2912.01,2955.56,2871.1,2890.3,6593735
07/01/20,2757.99,2895,2754,2878.7,6364355
06/30/20,2685.07,2769.63,2675.03,2758.82,3769686
06/29/20,2690.01,2696.8,2630.08,2680.38,4223422
06/26/20,2775.06,2782.57,2688,2692.87,6500784
06/25/20,2739.55,2756.23,2712.14,2754.58,2968657
06/24/20,2780,2796,2721,2734.4,4526605
06/23/20,2726.02,2783.11,2718.04,2764.41,4231707
06/22/20,2684.5,2715,2669,2713.82,3208780
06/19/20,2678.08,2697.43,2659,2675.01,5776963
06/18/20,2647.01,2659.64,2636.11,2653.98,2487774
06/17/20,2647.5,2655,2631.82,2640.98,2959316
06/16/20,2620,2620,2576,2615.27,3595649
06/15/20,2526.6,2584,2508,2572.68,3873335
06/12/20,2601.21,2621.48,2503.35,2545.02,5436127
06/11/20,2603.5,2671.38,2536.23,2557.96,5800107
06/10/20,2645,2722.35,2626.26,2647.45,4946031
06/09/20,2529.44,2626.43,2525,2600.86,5175950
06/08/20,2500.2,2530,2487.34,2524.06,3970654
06/05/20,2444.51,2488.64,2437.13,2483,3306445
06/04/20,2477.43,2507.54,2450.01,2460.6,2948710
06/03/20,2468.01,2488,2461.17,2478.4,2671024
06/02/20,2467,2473.53,2445.31,2472.41,2529903
06/01/20,2448,2476.93,2444.17,2471.04,2938032
05/29/20,2415.94,2442.37,2398.2,2442.37,3529329
05/28/20,2384.33,2436.97,2378.23,2401.1,3193136
05/27/20,2404.99,2413.58,2330,2410.39,5056945
05/26/20,2458,2462,2414.06,2421.86,3568153
05/22/20,2455.01,2469.85,2430.13,2436.88,2867079
05/21/20,2500,2525.45,2442.54,2446.74,5114403
05/20/20,2477.87,2500.01,2467.27,2497.94,3998143
05/19/20,2429.83,2484.99,2428.97,2449.33,4320498
05/18/20,2402.48,2433,2384.01,2426.26,4366572
05/15/20,2368.52,2411,2356.37,2409.78,4234951
05/14/20,2361.01,2391.37,2353.21,2388.85,3648128
05/13/20,2366.8,2407.7,2337.8,2367.92,4782919
05/12/20,2411.85,2419,2355,2356.95,3074916
05/11/20,2374.7,2419.66,2372.11,2409,3259231
05/08/20,2372.14,2387.24,2357,2379.61,3211228
05/07/20,2374.78,2376,2343.11,2367.61,3396411
05/06/20,2329.44,2357.45,2320,2351.26,3117814
05/05/20,2340,2351,2307.13,2317.8,3242496
05/04/20,2256.38,2326.98,2256.38,2315.99,4865926
05/01/20,2336.8,2362.44,2258.19,2286.04,9772605
04/30/20,2419.84,2475,2396.01,2474,9534611
04/29/20,2330.01,2391.89,2310,2372.71,4591593
04/28/20,2372.1,2373.5,2306,2314.08,5269446
04/27/20,2443.2,2444.88,2363,2376,5645645
04/24/20,2417,2420.43,2382,2410.22,3831797
04/23/20,2399.98,2424.22,2382.08,2399.45,5066552
04/22/20,2369,2394,2351,2363.49,4218295
04/21/20,2416.61,2428.31,2279.66,2328.12,7476679
04/20/20,2389.95,2444.98,2386.05,2393.61,5770694
04/17/20,2372.33,2400,2316.02,2375,7930010
04/16/20,2346,2461,2335,2408.19,12038201
04/15/20,2257.68,2333.37,2245,2307.68,6866567
04/14/20,2200.47,2292,2186.21,2283.32,8087193
04/13/20,2040,2180,2038,2168.87,6716709
04/09/20,2044.3,2053,2017.66,2042.76,4655617
04/08/20,2021,2044,2011.15,2043,3977313
04/07/20,2017.11,2035.72,1997.62,2011.6,5113983
04/06/20,1936,1998.52,1930.02,1997.59,5773181
04/03/20,1911.15,1926.33,1889.15,1906.59,3609870
04/02/20,1901.64,1927.53,1890,1918.83,4335985
04/01/20,1932.97,1944.96,1893,1907.7,4121875
03/31/20,1964.35,1993.02,1944.01,1949.72,5123626
03/30/20,1922.83,1973.63,1912.34,1963.95,6126087
03/27/20,1930.86,1939.79,1899.92,1900.1,5387897
03/26/20,1902,1956.49,1889.29,1955.49,6235118
03/25/20,1920.69,1950.26,1885.78,1885.84,6479073
03/24/20,1952.01,1955,1900.34,1940.1,7147080
03/23/20,1827.75,1919.4,1812,1902.83,7808489
03/20/20,1926.31,1957,1820.73,1846.09,9817850
03/19/20,1860,1945,1832.65,1880.93,10399943
03/18/20,1750,1841.66,1745,1830,9596297
03/17/20,1775.47,1857.78,1689.24,1807.84,10917129
03/16/20,1641.51,1759.45,1626.03,1689.15,8917265
03/13/20,1755,1786.31,1680.62,1785,8809725
03/12/20,1721.98,1765,1675,1676.61,11346214
03/11/20,1857.85,1871.32,1801.5,1820.86,5646831
03/10/20,1870.88,1894.27,1818.17,1891.82,7133310
03/09/20,1773.86,1862.77,1761.29,1800.61,7813232
03/06/20,1875,1910.87,1869.5,1901.09,5273580
03/05/20,1933,1960.72,1910,1924.03,4748210
03/04/20,1946.57,1978,1922,1975.83,4772919
03/03/20,1975.37,1996.33,1888.09,1908.99,7534491
03/02/20,1906.49,1954.51,1870,1953.95,6761651
02/28/20,1814.63,1889.76,1811.13,1883.75,9493797
02/27/20,1934.38,1975,1882.76,1884.3,8143993
02/26/20,1970.28,2014.67,1960.45,1979.59,5240402
02/25/20,2026.42,2034.6,1958.42,1972.74,6219094
02/24/20,2003.18,2039.3,1987.97,2009.29,6546997
02/21/20,2142.15,2144.55,2088,2095.97,4650740
02/20/20,2173.07,2176.79,2127.45,2153.1,3131342
02/19/20,2167.8,2185.1,2161.12,2170.22,2561165
02/18/20,2125.02,2166.07,2124.11,2155.67,2951070
02/14/20,2155.68,2159.04,2125.89,2134.87,2606169
02/13/20,2144.99,2170.28,2142,2149.87,3031791
02/12/20,2163.2,2180.25,2155.29,2160,3334264
02/11/20,2150.9,2185.95,2136,2150.8,5746011
02/10/20,2085.01,2135.6,2084.96,2133.91,5056235
02/07/20,2041.99,2098.53,2038.1,2079.28,5095347
02/06/20,2041.02,2056.3,2024.8,2050.23,3182954
02/05/20,2071.02,2071.02,2032,2039.87,4376174
02/04/20,2029.88,2059.8,2015.37,2049.67,5289338
02/03/20,2010.6,2048.5,2000.25,2004.2,5899094
01/31/20,2051.47,2055.72,2002.27,2008.72,15567283
01/30/20,1858,1872.87,1850.61,1870.68,6327438
01/29/20,1864,1874.75,1855.02,1858,2101390
01/28/20,1840.5,1858.11,1830.02,1853.25,2808040
01/27/20,1820,1841,1815.34,1828.34,3528509
01/24/20,1891.37,1894.99,1847.44,1861.64,3766181
01/23/20,1885.11,1889.97,1872.76,1884.58,2484613
01/22/20,1896.09,1902.5,1883.34,1887.46,3216257
01/21/20,1865,1894.27,1860,1892,3643771
01/17/20,1885.89,1886.64,1857.25,1864.72,3997340
01/16/20,1882.99,1885.59,1866.02,1877.94,2659493
01/15/20,1872.25,1878.86,1855.09,1862.02,2896592
01/14/20,1885.88,1887.11,1858.55,1869.44,3446381
01/13/20,1891.31,1898,1880.8,1891.3,2753903
01/10/20,1905.37,1906.94,1880,1883.16,2856959
01/09/20,1909.89,1917.82,1895.8,1901.05,3174962
01/08/20,1898.04,1911,1886.44,1891.97,3511966
01/07/20,1904.5,1913.89,1892.04,1906.86,4134010
01/06/20,1860,1903.69,1860,1902.88,4065698
01/03/20,1864.5,1886.2,1864.5,1874.97,3766604
01/02/20,1875,1898.01,1864.15,1898.01,4035910
12/31/19,1842,1853.26,1832.23,1847.84,2510380
12/30/19,1874,1884,1840.62,1846.89,3677306
12/27/19,1882.92,1901.4,1866.01,1869.8,6188754
12/26/19,1801.01,1870.46,1799.5,1868.77,6024608
12/24/19,1793.81,1795.57,1787.58,1789.21,881337
12/23/19,1788.26,1793,1784.51,1793,2137493
12/20/19,1799.62,1802.97,1782.45,1786.5,5152460
12/19/19,1780.5,1792.99,1774.06,1792.28,2738320
12/18/19,1795.02,1798.2,1782.36,1784.03,3354137
12/17/19,1778.01,1792,1777.39,1790.66,3646697
12/16/19,1767,1769.5,1757.05,1769.21,3149345
12/13/19,1765,1768.99,1755,1760.94,2747909
12/12/19,1750,1764,1745.44,1760.33,3103949
12/11/19,1741.67,1750,1735.71,1748.72,2101318
12/10/19,1747.4,1750.67,1735,1739.21,2515644
12/09/19,1750.66,1766.89,1745.61,1749.51,2502489
12/06/19,1751.2,1754.4,1740.13,1751.6,3119979
12/05/19,1763.5,1763.5,1740,1740.48,2827852
12/04/19,1774.01,1789.09,1760.22,1760.69,2680700
12/03/19,1760,1772.87,1747.23,1769.96,3529582
12/02/19,1804.4,1805.55,1762.68,1781.6,3931750
11/29/19,1817.78,1824.69,1800.79,1800.8,1923440
11/27/19,1801,1824.5,1797.31,1818.51,3035846
11/26/19,1779.92,1797.03,1778.35,1796.94,3190428
11/25/19,1753.25,1777.42,1753.24,1773.84,3489467
11/22/19,1739.02,1746.43,1731,1745.72,2479081
11/21/19,1743,1746.87,1730.36,1734.71,2662938
11/20/19,1749.14,1762.52,1734.12,1745.53,2793759
11/19/19,1756.99,1760.68,1743.03,1752.79,2274535
11/18/19,1738.3,1753.7,1722.71,1752.53,2841907
11/15/19,1760.05,1761.68,1732.86,1739.49,3931141
11/14/19,1751.43,1766.59,1749.56,1754.6,2269417
11/13/19,1773.39,1775,1747.32,1753.11,2926892
11/12/19,1774.66,1786.22,1771.91,1778,2038925
11/11/19,1778,1780,1767.13,1771.65,1947810
11/08/19,1787.89,1789.88,1774.04,1785.88,2126198
11/07/19,1803.76,1805.9,1783.48,1788.2,2651086
11/06/19,1801,1802.5,1788.58,1795.77,2029783
11/05/19,1809.16,1810.25,1794,1801.71,1885543
11/04/19,1801.01,1815.06,1801.01,1804.66,2771922
11/01/19,1788.01,1797.44,1785.21,1791.44,2790354
10/31/19,1775.99,1792,1771.48,1776.66,2781185
10/30/19,1759.12,1782.38,1759.12,1779.99,2449405
10/29/19,1774.81,1777,1755.81,1762.71,2276855
10/28/19,1748.06,1778.7,1742.5,1777.08,3634788
10/25/19,1697.55,1764.21,1695,1761.33,9626402
10/24/19,1771.09,1788.34,1760.27,1780.78,5204350
10/23/19,1761.3,1770.05,1742,1762.17,2190380
10/22/19,1788.15,1789.78,1762,1765.73,2234425
10/21/19,1769.66,1785.88,1765,1785.66,2130431
10/18/19,1787.8,1793.98,1749.2,1757.51,3189382
10/17/19,1796.49,1798.85,1782.02,1787.48,2713773
10/16/19,1773.33,1786.24,1770.52,1777.43,2804068
10/15/19,1742.14,1776.45,1740.62,1767.38,3129244
10/14/19,1728.91,1741.89,1722,1736.43,1928898
10/11/19,1742.92,1745.45,1729.86,1731.92,3279534
10/10/19,1725.24,1738.29,1713.75,1720.26,2721531
10/09/19,1719.61,1729.95,1714.36,1721.99,2089335
10/08/19,1722.49,1727,1705,1705.51,2626840
10/07/19,1731.63,1747.83,1723.7,1732.66,2187598
10/04/19,1726.02,1740.58,1719.23,1739.65,2489277
10/03/19,1713,1725,1685.06,1724.42,3624371
10/02/19,1727.74,1728.89,1705,1713.23,3338476
10/01/19,1746,1755.6,1728.41,1735.65,3170460
09/30/19,1726.99,1737.46,1709.22,1735.91,2760768
09/27/19,1748,1749.12,1713.82,1725.45,3948029
